Hasil Pilkada,Jumlah Paslon,Nama Daerah,Jalur Pencalonan,Nama Kandidat (1),Nama Kandidat (2),Gender (1),Gender (2),Usia (1),Usia (2),Latar Belakang Profesi (1),Latar Belakang Profesi (2),Petahana? (1),Petahana? (2),Jumlah PARPOL Pendukung,Persentase PARPOL Pendukung,Jumlah Kursi Pendukung (DPR),Jumlah Kursi Pendukung (DPRD)
Menang,3,EMPAT LAWANG (SUMATERA SELATAN)  ,PARPOL,"H. JONCIK MUHAMMAD, S.SI.",YULIUS MAULANA,L,L,48,43,SIPIL,SIPIL,0,0,6,0.500,0.543,0.543
Kalah,3,EMPAT LAWANG (SUMATERA SELATAN)  ,PERORANGAN,"H.YULIZAR DINOTO,SH","DRS.H.KISON SYAHRIN,MM",L,L,62,60,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Menang,4,KOTA PALEMBANG (SUMATERA SELATAN)  ,PARPOL,"H. HARNOJOYO, S.SOS","FITRIANTI AGUSTINDA, S.H.",L,P,51,42,SIPIL,SIPIL,1,2,5,0.417,0.473,0.467
Kalah,4,KOTA PALEMBANG (SUMATERA SELATAN)  ,PARPOL,"IR. H. SARIMUDA, MT.","IR. KGS. H. ABDUL ROZAK, M.SC.",L,L,61,54,SIPIL,SIPIL,0,0,3,0.250,0.266,0.289
Kalah,4,KOTA PALEMBANG (SUMATERA SELATAN)  ,PERORANGAN,H. M. AKBAR ALFARO,HERNOE ROESPRIJADJI,L,L,30,52,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Kalah,4,KOTA PALEMBANG (SUMATERA SELATAN)  ,PARPOL,H. MULARIS DJAHRI,H. SYAIDINA ALI,L,L,54,53,SIPIL,SIPIL,0,0,3,0.250,0.261,0.244
Kalah,6,KOTA PAGAR ALAM (SUMATERA SELATAN)  ,PERORANGAN,"HERMANTO, SH M.SI",IR. MUSABAQO,L,L,52,49,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Menang,6,KOTA PAGAR ALAM (SUMATERA SELATAN)  ,PARPOL,"ALPIAN MASKONI, SH","MUHAMMAD FADLI, SE",L,L,48,33,SIPIL,SIPIL,0,0,2,0.167,0.148,0.200
Kalah,6,KOTA PAGAR ALAM (SUMATERA SELATAN)  ,PARPOL,"DR. HJ. IDA FITRIATI BASJUNI, M.KES","IR. ARMANSAH, MM",P,L,63,56,SIPIL,SIPIL,1,0,4,0.333,0.386,0.440
Kalah,6,KOTA PAGAR ALAM (SUMATERA SELATAN)  ,PERORANGAN,NOVIRZAH DJAZULI. SE.,"H. SUHARINDI SJ, S.PD.,MM",L,L,41,59,SIPIL,SIPIL,2,0,0,0.000,0.000,0.000
Kalah,6,KOTA PAGAR ALAM (SUMATERA SELATAN)  ,PERORANGAN,LUDI OLIANSYAH,H. A. FACHRI,L,L,40,66,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Kalah,6,KOTA PAGAR ALAM (SUMATERA SELATAN)  ,PARPOL,"IR. GUNAWAN, MT","FEBRIANTO, SH., S.SI",L,L,57,49,SIPIL,SIPIL,0,0,4,0.333,0.396,0.320
Kalah,3,KOTA LUBUKLINGGAU (SUMATERA SELATAN)  ,PERORANGAN,"H. TOYEB RAKEMBANG, S.AG","SOFYAN, SH",L,L,43,52,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Menang,3,KOTA LUBUKLINGGAU (SUMATERA SELATAN)  ,PARPOL,"DRS. H. S.N.PRANA PUTRA SOHE, MM","H. SULAIMAN KOHAR, SH, MH",L,L,51,63,SIPIL,SIPIL,1,2,8,0.667,0.650,0.800
Kalah,3,KOTA LUBUKLINGGAU (SUMATERA SELATAN)  ,PARPOL,"H. RUSTAM EFFENDI, SH","RIEZKY APRILIA, SH, MH",L,P,59,36,SIPIL,SIPIL,0,0,2,0.167,0.264,0.200
Menang,1,KOTA PRABUMULIH (SUMATERA SELATAN)  ,PARPOL,"IR. H. RIDHO YAHYA, M.M.","H. ANDRIANSYAH FIKRI, S.H.",L,L,56,49,SIPIL,SIPIL,1,2,10,0.833,0.798,1.000
Kalah,4,KOTA BENGKULU (BENGKULU)  ,PERORANGAN,DAVID SUARDI,"DRS. BAKHSIR, MM",L,L,42,60,TNI/POLRI,SIPIL,0,0,0,0.000,0.000,0.000
Kalah,4,KOTA BENGKULU (BENGKULU)  ,PARPOL,"HJ. ERNA SARI DEWI, S.E","H. AHMAD ZARKASI, S.P., M.SI",P,L,44,49,SIPIL,SIPIL,0,0,3,0.250,0.205,0.343
Menang,4,KOTA BENGKULU (BENGKULU)  ,PARPOL,"H. HELMI, S.E.","DEDY WAHYUDI, S.E, M.M",L,L,39,43,SIPIL,SIPIL,1,0,3,0.250,0.325,0.343
Kalah,4,KOTA BENGKULU (BENGKULU)  ,PARPOL,IR. PATRIANA SOSIALINDA,"MIRZA, S.H., M.KN",P,L,53,34,SIPIL,SIPIL,2,0,3,0.250,0.386,0.200
Kalah,4,LAMPUNG  ,PARPOL,"H. MUHAMMAD RIDHO FICARDO, M.SI","BACHTIAR BASRI, SH., MM",L,L,38,65,SIPIL,SIPIL,1,2,3,0.250,0.309,0.294
Kalah,4,LAMPUNG  ,PARPOL,"DRS. H. HERMAN HASANUSI, MM","IR. SUTONO, MM",L,L,62,60,SIPIL,SIPIL,0,0,1,0.083,0.195,0.200
Menang,4,LAMPUNG  ,PARPOL,IR. H. ARINAL DJUNAIDI,"HJ. CHUSNUNIA, PH.D",L,P,62,36,SIPIL,SIPIL,0,0,3,0.250,0.332,0.294
Kalah,4,LAMPUNG  ,PARPOL,DR. H. MUSTAFA,"H. AHMAD JAJULI SIP.,M.SI",L,L,43,50,SIPIL,SIPIL,0,0,3,0.250,0.164,0.212
Kalah,3,LAMPUNG UTARA (LAMPUNG)  ,PARPOL,"DRS. HI. ZAINAL ABIDIN, MM","M. YUSRIZAL, ST",L,L,57,44,SIPIL,SIPIL,0,0,3,0.250,0.332,0.378
Kalah,3,LAMPUNG UTARA (LAMPUNG)  ,PARPOL,HI. APROZI ALAM,"DRA. ICE SURYANA, S.PD",L,P,49,54,SIPIL,SIPIL,0,0,3,0.250,0.246,0.244
Menang,3,LAMPUNG UTARA (LAMPUNG)  ,PARPOL,"H. AGUNG ILMU MANGKUNEGARA, S.STP. MH.","H. BUDI UTOMO, SE. MM",L,L,36,60,SIPIL,SIPIL,1,0,4,0.333,0.352,0.356
Menang,2,TANGGAMUS (LAMPUNG)  ,PARPOL,"HJ. DEWI HANDAJANI, SE, MM","HI. AM. SYAFI?I, S.AG",P,L,47,48,SIPIL,SIPIL,0,0,4,0.333,0.416,0.489
Kalah,2,TANGGAMUS (LAMPUNG)  ,PARPOL,"HI. SAMSUL HADI, M.PD.I","HI. NUZUL IRSAN, SE",L,L,57,47,SIPIL,SIPIL,0,0,6,0.500,0.584,0.511
